CUSTOMERID,FREQUENCY,MONETARY,RECENCYDAYS,AVERAGEORDERVALUE
13862,8,2209.36,18,276.17
15920,4,167.5,154,41.88
17867,6,1197.1,30,199.52
15660,9,1600.86,25,177.87
12749,5,4090.88,3,818.18
16828,2,128.5,93,64.25
15253,5,918.2,16,183.64
16229,2,1010.6,87,505.3
13670,1,349.7,75,349.7
17528,8,3628.5,1,453.56
17119,2,606.91,3,303.46
15620,3,1553.18,56,517.73
16079,3,1352,16,450.67
12697,3,957.59,28,319.2
15571,4,650.43,11,162.61
16956,1,308.74,17,308.74
12628,3,786.46,4,262.15
13173,2,353.65,4,176.83
16250,2,389.44,261,194.72
13531,2,483.8,205,241.9
14784,2,289.99,26,145
16217,2,304.25,235,152.13
14515,6,2102.09,17,350.35
17869,5,428.18,107,85.64
15333,1,1028.56,208,1028.56
17644,11,2895.64,1,263.24
14285,4,1910.01,21,477.5
17031,2,380.35,11,190.18
16292,1,302.25,121,302.25
15743,4,784.46,16,196.12
16584,2,936.08,80,468.04
13297,4,2089.85,7,522.46
16071,1,326.24,44,326.24
12630,2,1270.88,9,635.44
14653,7,1947.55,1,278.22
15365,7,2314.32,25,330.62
13456,6,1766.72,17,294.45
14001,3,2043.08,45,681.03
12944,2,604.51,35,302.26
16554,3,837.1,42,279.03
15122,3,1633.78,114,544.59
12781,2,826.74,63,413.37
13884,5,787.6,7,157.52
18173,4,2106.84,86,526.71
16859,2,747.81,144,373.91
16915,6,621.68,9,103.61
13888,2,605.63,119,302.82
12625,2,2683.82,211,1341.91
17455,1,131.7,203,131.7
14009,2,695.61,198,347.81
13929,2,842.65,169,421.33
18097,6,2697.8,7,449.63
16211,1,547.02,88,547.02
16685,2,324.24,61,162.12
15272,2,721.94,57,360.97
18096,3,911.15,11,303.72
15752,7,2637.38,39,376.77
14971,3,1116.57,35,372.19
18217,2,621.75,29,310.88
14354,2,163.62,5,81.81
12827,3,430.15,5,143.38
17266,3,310.64,2,103.55
12912,5,1662.3,2,332.46
17358,2,365.85,303,182.93
18095,2,580.05,312,290.03
16315,1,226.37,330,226.37
13901,5,2867.2,72,573.44
14341,8,2182.28,45,272.79
15944,1,325.1,276,325.1
17754,5,1772.26,0,354.45
14476,1,215.7,257,215.7
18263,3,1213.16,25,404.39
16990,1,179,218,179
18190,2,284.46,192,142.23
15462,3,234.6,94,78.2
15150,10,5314.47,17,531.45
16582,1,313.62,113,313.62
14020,2,642.8,16,321.4
13774,1,345,81,345
12446,1,1002.31,57,1002.31
12526,3,1316.66,0,438.89
14836,3,102.45,10,34.15
15904,1,164.68,8,164.68
13402,2,621.23,127,310.62
15899,1,56.25,368,56.25
13649,2,346.6,256,173.3
13809,1,155.05,305,155.05
15709,1,133.25,283,133.25
12679,4,1113.02,58,278.26
16511,3,950.26,21,316.75
17362,2,312.23,239,156.12
13235,1,1031.07,212,1031.07
12450,2,197.88,156,98.94
17724,3,1033,71,344.33
17514,1,208.65,128,208.65
14164,2,1631.77,70,815.89
17510,1,308.48,24,308.48
16119,2,423.36,8,211.68
17235,2,550.06,25,275.03
16858,1,375.69,368,375.69
15447,1,155.17,330,155.17
17678,1,298.11,263,298.11
14403,4,1475.81,130,368.95
12390,1,549.84,79,549.84
15603,1,48.48,78,48.48
17480,1,511.82,77,511.82
15994,1,427.07,54,427.07
15678,1,352.7,52,352.7
15025,1,377.01,33,377.01
17044,1,948.48,25,948.48
13160,1,91.8,22,91.8
12438,2,2906.85,14,1453.43
14987,2,326.4,15,163.2
17082,2,2003.85,33,1001.93
14431,1,470.36,302,470.36
16392,1,221.19,269,221.19
12693,4,855.91,127,213.98
17033,3,1030.14,86,343.38
15812,5,1801.14,107,360.23
14885,1,765.32,131,765.32
12456,3,3181.04,44,1060.35
14379,2,348.1,44,174.05
15576,1,940.67,37,940.67
13522,1,125.8,30,125.8
17977,1,288.14,29,288.14
15226,1,154.41,310,154.41
14264,2,333.97,154,166.99
16209,5,2262.62,88,452.52
13516,3,1389.41,21,463.14
17010,1,195.36,18,195.36
17291,1,550.8,308,550.8
16625,1,333.08,274,333.08
15703,1,211.5,264,211.5
16721,1,292.47,262,292.47
17670,1,205.7,227,205.7
16715,1,301.72,78,301.72
17237,2,314.69,11,157.35
16642,2,688.33,4,344.17
15460,1,216.76,354,216.76
16403,1,177.5,312,177.5
14457,1,113.64,310,113.64
12873,1,374,282,374
14693,1,172.9,264,172.9
16374,2,473.03,66,236.52
12609,3,1126.85,78,375.62
14171,1,363.79,98,363.79
17640,1,621.66,86,621.66
13095,1,74.4,70,74.4
12923,1,176.97,64,176.97
14158,1,507.66,40,507.66
13697,1,151.3,38,151.3
15406,2,510.71,31,255.36
13739,1,216.9,18,216.9
15822,2,885.47,3,442.74
14204,1,161.03,2,161.03
16917,1,391.52,276,391.52
17278,1,246.04,241,246.04
15210,1,331.18,225,331.18
12809,1,489.31,177,489.31
16861,2,173.76,59,86.88
16878,1,13.3,84,13.3
13790,1,348.8,4,348.8
16805,2,460.59,173,230.3
13382,1,222.99,280,222.99
14535,3,2864.19,60,954.73
12884,1,309.05,88,309.05
16480,1,769.29,75,769.29
13866,1,145.67,74,145.67
13354,1,743.53,71,743.53
17895,1,98,44,98
14179,2,719.78,40,359.89
17253,1,178.26,18,178.26
15428,1,93.78,15,93.78
14705,1,179,198,179
12501,1,2169.39,336,2169.39
14241,1,213.7,183,213.7
18281,1,80.82,180,80.82
13356,1,768.24,80,768.24
17163,2,293.1,21,146.55
15243,1,316.68,74,316.68
13091,1,345.82,28,345.82
13146,1,228.91,26,228.91
16406,1,163.07,18,163.07
14642,1,96.12,58,96.12
15153,1,329.25,31,329.25
13986,1,320.46,17,320.46
15987,7,1451.28,12,207.33
18077,11,2633.01,8,239.36
15973,1,307.82,366,307.82
12797,1,254.03,365,254.03
14113,4,1840.42,3,460.11
16029,63,81024.84,38,1286.11
16775,11,1695.66,10,154.15
16033,20,8816.4,5,440.82
12826,7,1474.72,2,210.67
14532,4,932.85,236,233.21
14805,4,554.65,15,138.66
17334,2,307.02,302,153.51
17377,20,4100.92,23,205.05
13157,4,1741.22,49,435.31
12682,31,12288.22,3,396.39
12545,2,1000.39,75,500.2
12778,6,822.23,19,137.04
13798,57,37153.85,1,651.82
16161,19,5575.56,1,293.45
16705,20,14034.99,0,701.75
13001,13,9818.82,4,755.29
13576,18,6717.34,10,373.19
15874,7,4405.88,63,629.41
16523,21,9418.47,1,448.5
18172,20,7561.68,14,378.08
16226,3,255.12,203,85.04
14587,9,1601.14,18,177.9
17716,11,5655.99,22,514.18
14643,2,693.81,170,346.91
18203,1,160.42,157,160.42
17905,4,800.24,71,200.06
12540,17,13400.24,19,788.25
17007,6,889.93,50,148.32
13003,3,149.05,105,49.68
17229,2,318.76,96,159.38
17750,9,1797.57,5,199.73
17353,2,1740,129,870
14079,1,375.1,124,375.1
12642,3,1013.26,25,337.75
15364,2,913.19,95,456.6
14116,5,1382.74,19,276.55
13196,4,1797.78,11,449.45
13038,3,908.46,80,302.82
16672,20,8134.94,2,406.75
16233,3,536.68,71,178.89
16395,5,1486.9,60,297.38
15482,12,11054.96,15,921.25
18241,17,2073.09,9,121.95
15948,2,955.24,8,477.62
13813,4,1366.86,39,341.72
13759,2,659.41,33,329.71
17901,1,110.38,29,110.38
17088,4,1991.01,28,497.75
12950,3,1843,2,614.33
17760,2,287.59,21,143.8
13200,4,870.09,19,217.52
16311,2,616.26,17,308.13
17685,7,3191.53,16,455.93
17885,1,190.19,12,190.19
15601,14,6776.56,11,484.04
14601,1,213.96,10,213.96
14292,9,4871.93,7,541.33
12704,8,2340.84,7,292.61
17131,5,2463.17,5,492.63
12935,7,2160.7,2,308.67
14129,5,1123.86,1,224.77
17425,2,759.17,19,379.59
15535,4,536.4,173,134.1
17314,8,2527.92,24,315.99
15819,4,1905.45,49,476.36
16976,1,251.52,267,251.52
15855,5,712.24,136,142.45
15223,2,755.75,225,377.88
13294,2,873.74,189,436.87
18213,1,232.48,236,232.48
14462,11,2004.02,66,182.18
13094,12,1927.32,21,160.61
17288,7,1419.73,9,202.82
12705,9,6868.29,15,763.14
13617,3,544.18,40,181.39
14823,3,321.43,180,107.14
16257,1,46.95,176,46.95
16009,4,992.71,22,248.18
12553,10,3692.28,8,369.23
14243,10,2588.77,8,258.88
15281,9,2332.15,58,259.13
15376,3,1233.36,40,411.12
14387,3,1770.56,32,590.19
13517,3,2128.42,59,709.47
13726,2,1079.66,38,539.83
12851,1,135.18,96,135.18
13744,2,1156.36,95,578.18
13510,4,1791.56,1,447.89
14357,1,225.77,43,225.77
12721,6,2656.13,31,442.69
14217,17,2004.98,1,117.94
13816,2,571.67,23,285.84
16000,3,12393.7,2,4131.23
15657,1,30,22,30
14491,2,340.93,175,170.47
17691,2,290.4,358,145.2
14083,9,1018.43,4,113.16
15607,1,104.76,336,104.76
12489,1,334.93,336,334.93
16351,1,153.9,332,153.9
15346,1,252.42,332,252.42
12422,3,803.56,95,267.85
13750,5,1647.26,53,329.45
15605,5,1198.23,36,239.65
16348,7,1469.45,32,209.92
17217,1,113.5,234,113.5
14245,2,1693.45,219,846.73
15674,5,2446.6,73,489.32
16320,2,1038.46,172,519.23
14289,6,911.26,8,151.88
16567,2,865.6,194,432.8
16027,6,934.62,91,155.77
17759,3,834.99,17,278.33
15027,4,1066.15,30,266.54
13207,2,250.26,15,125.13
15370,7,2386.05,40,340.86
16818,11,3349.57,10,304.51
17331,1,175.2,123,175.2
14852,6,2836.69,58,472.78
16600,6,813.52,4,135.59
13434,2,534.24,74,267.12
14027,1,104.82,60,104.82
13429,4,1006.8,10,251.7
16164,3,822.48,17,274.16
14110,12,5683.15,3,473.6
14125,3,2740.43,10,913.48
15492,2,659.46,28,329.73
13021,9,2616.38,4,290.71
17330,2,363.9,22,181.95
13048,4,1835.91,14,458.98
13784,11,2462.79,9,223.89
12762,2,1898.52,7,949.26
15922,1,369.5,373,369.5
16456,5,2158.37,99,431.67
14048,1,409.93,305,409.93
13421,2,1851.08,40,925.54
14880,3,706.19,77,235.4
15433,2,533.3,213,266.65
14353,1,90.6,215,90.6
16323,1,207.5,196,207.5
14321,5,1530.75,10,306.15
15561,4,800.59,11,200.15
13492,3,1269.84,136,423.28
16767,11,5580.6,30,507.33
13743,7,1341.6,2,191.66
18200,1,163.8,106,163.8
16451,1,266.97,87,266.97
17462,2,675.69,60,337.85
13727,2,333.48,28,166.74
13381,6,3639.31,31,606.55
15111,3,1567.48,29,522.49
15949,2,364.72,16,182.36
13807,1,112.6,367,112.6
15577,3,258.88,151,86.29
16609,7,5493.46,15,784.78
16275,1,559.87,196,559.87
15925,1,207.15,194,207.15
13395,1,307.72,185,307.72
13425,3,1624.21,108,541.4
16807,3,1121.59,142,373.86
15572,7,2552.86,4,364.69
14628,2,671.96,91,335.98
13336,1,795.12,77,795.12
14333,1,415.2,67,415.2
15469,2,538.55,50,269.28
15612,2,195.15,36,97.58
13282,3,1132.14,18,377.38
13742,12,3131.02,16,260.92
15619,1,336.4,10,336.4
16062,4,1153.62,9,288.41
13715,5,1079.34,281,215.87
14657,4,848.22,17,212.06
14235,5,3144.86,75,628.97
12836,4,2612.86,59,653.22
18165,1,302.46,177,302.46
13568,1,192.85,173,192.85
16245,3,1413.66,23,471.22
16342,4,322.41,75,80.6
14108,2,597.91,30,298.96
14250,3,1904.05,7,634.68
12566,1,351.65,86,351.65
12640,3,1174.58,23,391.53
14416,2,490.22,22,245.11
13447,3,1129.14,23,376.38
17831,1,35.4,33,35.4
16330,3,251.91,17,83.97
17812,4,732.16,12,183.04
17862,1,330.9,323,330.9
12852,1,311.55,294,311.55
15695,2,409.98,266,204.99
13976,1,357.98,206,357.98
17648,4,1797.5,60,449.38
16424,1,133.56,191,133.56
15386,1,394.14,186,394.14
15014,2,260.17,43,130.09
15747,3,974.04,12,324.68
15952,4,806.57,33,201.64
17984,1,152.68,145,152.68
14117,1,90,143,90
12571,2,519.61,39,259.81
14759,3,1625.97,4,541.99
18261,2,324.24,43,162.12
15553,1,437.23,60,437.23
13853,1,1090.14,57,1090.14
17549,2,148.86,23,74.43
16891,5,809.7,1,161.94
15010,1,308.94,35,308.94
15043,1,537,31,537
17912,5,311.01,310,62.2
15303,1,574.02,290,574.02
15980,3,2398.86,88,799.62
17697,1,338.95,236,338.95
16163,2,856.6,232,428.3
14161,3,1110.52,215,370.17
15252,2,740.78,36,370.39
15035,1,252.73,89,252.73
13325,1,675.3,81,675.3
12939,8,11581.8,64,1447.73
17483,3,414.04,65,138.01
17534,1,223.36,53,223.36
12938,1,114.14,25,114.14
15500,4,1131.56,8,282.89
15636,2,724.76,89,362.38
15891,1,524.52,226,524.52
12758,2,2791.59,116,1395.8
14772,1,139.26,112,139.26
12871,2,380.64,84,190.32
16198,1,400.68,75,400.68
14764,1,278.3,46,278.3
13844,1,361.62,11,361.62
13615,1,417.69,318,417.69
18010,1,174.8,256,174.8
14311,1,310.26,242,310.26
12622,1,180.1,232,180.1
13085,2,416.08,157,208.04
13352,1,397.98,60,397.98
16826,1,341.7,51,341.7
15659,1,306.45,43,306.45
14658,2,247.15,5,123.58
15022,4,905.04,11,226.26
14589,1,39.75,371,39.75
12792,1,400.54,256,400.54
17709,1,137.45,169,137.45
13602,1,428.89,64,428.89
17030,1,146.87,63,146.87
18088,1,167.67,61,167.67
13923,1,351.13,53,351.13
16345,1,575.41,44,575.41
13278,1,542.73,40,542.73
14673,5,1736.4,3,347.28
15714,2,330.88,11,165.44
17142,1,579,239,579
14152,2,621.29,75,310.65
14423,1,265.2,218,265.2
17970,1,582.59,211,582.59
17536,1,76.5,177,76.5
14951,1,311.69,79,311.69
17604,2,309.36,217,154.68
18159,1,530.15,301,530.15
17746,1,110.25,240,110.25
15130,1,330.11,169,330.11
16447,1,259.01,135,259.01
17248,1,318.65,120,318.65
13182,1,121.18,45,121.18
16190,1,215.08,40,215.08
13581,1,118,309,118
12565,1,145.92,288,145.92
17601,1,116.01,239,116.01
17245,1,171.45,204,171.45
17110,1,163.3,165,163.3
14847,1,309.4,148,309.4
17496,1,271.05,358,271.05
13358,1,439.03,268,439.03
17972,1,136.04,241,136.04
17464,1,289.96,158,289.96
12349,1,1757.55,18,1757.55
14130,1,483.86,319,483.86
16377,1,676.2,267,676.2
14149,1,446.62,220,446.62
17987,1,198.57,185,198.57
12548,1,95.2,166,95.2
14887,1,1862,79,1862
13120,1,30.6,238,30.6
14237,1,161,373,161
13838,4,691.73,5,172.93
15221,1,403.25,366,403.25
15194,15,7616.53,3,507.77
16145,11,3799.49,8,345.41
14621,5,1788.36,1,357.67
15204,1,316.58,357,316.58
17841,124,40991.57,1,330.58
16191,13,5180.52,2,398.5
14976,7,790.86,57,112.98
14135,15,4690.31,1,312.69
17730,13,5298.48,3,407.58
12510,2,982.57,142,491.29
12637,8,6021.9,67,752.74
17238,17,3744.65,2,220.27
13208,6,1223.9,58,203.98
16713,15,6923.13,18,461.54
17857,23,26879.04,4,1168.65
17050,6,3228.84,96,538.14
17364,11,4481.18,0,407.38
12841,25,4022.35,4,160.89
12599,7,1032.58,29,147.51
17864,3,597.5,12,199.17
16985,10,5464.12,17,546.41
16780,2,425.19,100,212.6
12877,12,1535.77,3,127.98
15696,8,2736.46,33,342.06
15971,12,4199.85,17,349.99
15240,5,1706.57,44,341.31
16458,18,3482.74,2,193.49
13069,24,4436.12,0,184.84
16698,2,1998,226,999
17629,8,1814.12,5,226.77
16503,4,1431.93,106,357.98
14646,73,280206.02,1,3838.44
17302,5,1135.63,14,227.13
14543,16,3630.33,28,226.9
15058,11,2124.99,25,193.18
17446,2,120.9,176,60.45
15669,4,684.34,40,171.09
16168,27,3787.6,10,140.28
18245,7,2567.06,7,366.72
14265,2,530.18,109,265.09
14748,5,1415.75,29,283.15
15078,32,9743.11,7,304.47
17189,2,384.4,106,192.2
17700,4,2534.64,16,633.66
14562,18,5074.77,3,281.93
14038,3,1560.38,78,520.13
17805,1,512.31,73,512.31
15276,1,135.31,66,135.31
16295,4,1328.55,9,332.14
13558,4,605.06,5,151.27
17220,14,3198.25,24,228.45
14050,2,746.36,31,373.18
16764,13,2799.25,3,215.33
16953,1,20.8,30,20.8
16743,7,2238.09,29,319.73
13148,12,3707.12,29,308.93
13810,3,1499.01,28,499.67
13471,4,2531.58,1,632.9
16212,2,690.34,19,345.17
14449,4,907.1,18,226.78
15514,11,4139.46,12,376.31
16016,8,1508.76,3,188.6
17173,8,3766.6,5,470.83
15790,1,220.85,10,220.85
17737,2,168.24,9,84.12
14258,9,12669.98,9,1407.78
17250,2,384.52,3,192.26
14045,4,1659.75,109,414.94
12483,8,2484.98,17,310.62
13982,4,1871.81,39,467.95
18037,6,70.02,154,11.67
16560,2,841.41,26,420.71
15034,8,4308.61,15,538.58
18087,2,4055.72,98,2027.86
13675,2,486.82,151,243.41
14995,2,233.23,38,116.62
17227,6,939.32,18,156.55
14538,2,388.25,64,194.13
15424,2,383.34,254,191.67
17069,9,2709.7,28,301.08
17505,2,1145.84,161,572.92
12601,5,577.06,189,115.41
18177,6,1341.42,31,223.57
15237,4,1412.32,1,353.08
12974,1,144.8,197,144.8
17900,2,112.2,190,56.1
14696,7,2078.95,4,296.99
16825,2,775.18,38,387.59
15304,8,694.4,60,86.8
17396,8,7330.8,39,916.35
16040,3,1313.55,65,437.85
13477,6,1454.58,37,242.43
17705,9,1823.52,3,202.61
18064,2,814,133,407
17267,2,317.62,127,158.81
12729,1,453.01,113,453.01
14064,5,1353.74,29,270.75
14452,2,264.44,10,132.22
15488,1,91.32,92,91.32
12535,2,716.35,91,358.18
15622,9,3709.56,43,412.17
12752,1,4366.78,81,4366.78
13878,1,1281.53,54,1281.53
18252,2,526.67,50,263.34
12720,25,5781.73,2,231.27
15809,5,515.77,36,103.15
17351,3,587.15,36,195.72
13767,37,17220.36,2,465.42
16999,2,484.82,23,242.41
16800,1,1201.49,11,1201.49
15148,1,301.29,10,301.29
17157,2,319,7,159.5
13560,1,174.37,7,174.37
16954,9,2085.08,0,231.68
13569,2,373.75,17,186.88
17990,3,630.84,236,210.28
15171,1,1289.5,331,1289.5
17392,2,457.91,306,228.96
14475,3,925.85,71,308.62
13753,1,741.26,287,741.26
14620,2,412.78,205,206.39
12728,4,836.33,71,209.08
18136,3,784.33,63,261.44
13719,5,1041.68,15,208.34
17152,3,1689.5,194,563.17
16967,1,319.02,189,319.02
18072,1,247.44,185,247.44
14561,3,1080.76,75,360.25
12759,3,1531.44,52,510.48
14246,3,1474.06,110,491.35
14691,5,2114.33,30,422.87
16594,1,181.09,75,181.09
13647,4,1678.12,9,419.53
15993,7,2797.57,8,399.65
12654,5,601.98,10,120.4
12603,1,739.2,21,739.2
13960,2,230.22,21,115.11
17436,2,216.3,1,108.15
15485,3,2575,30,858.33
15456,3,447.22,283,149.07
12421,4,807.04,15,201.76
12468,2,729.54,187,364.77
16405,2,167.25,302,83.63
18129,1,112.55,243,112.55
17047,3,1100.9,85,366.97
12399,4,1108.65,119,277.16
15593,1,199.8,70,199.8
17824,1,298.4,51,298.4
16676,4,1592.12,33,398.03
17043,4,1735.18,32,433.8
14788,2,679.44,7,339.72
16399,2,408.57,19,204.29
12615,4,2291.19,2,572.8
17158,3,1266.97,32,422.32
13317,6,2273.68,66,378.95
15649,2,816,336,408
15213,2,328.35,318,164.18
15820,1,206.98,319,206.98
17454,4,517.53,192,129.38
17449,7,2520.86,2,360.12
17325,1,96.8,280,96.8
14727,1,268.58,274,268.58
17400,5,2129.96,126,425.99
14286,3,4628.75,23,1542.92
12530,4,1662.28,59,415.57
18183,2,632.07,227,316.04
13524,5,680.18,40,136.04
17646,3,1008.39,219,336.13
18202,3,1396.99,199,465.66
14891,2,554.38,148,277.19
17179,3,711.79,178,237.26
13505,4,4393.63,72,1098.41
18013,2,187.29,155,93.65
15306,3,1174.35,64,391.45
17948,1,358.56,147,358.56
16696,4,657.9,135,164.48
18196,2,689.13,95,344.57
13372,1,378.64,89,378.64
12457,7,2363.23,66,337.6
16215,1,242.35,80,242.35
17459,2,657.3,43,328.65
13271,1,217.38,37,217.38
15599,2,761.74,26,380.87
17299,4,669.11,11,167.28
17666,2,728.16,3,364.08
17500,3,1138,17,379.33
14889,1,135.9,336,135.9
17786,2,278.74,85,139.37
17214,6,1069.12,60,178.19
17212,1,226.85,253,226.85
13730,2,752.6,135,376.3
17695,2,765.34,131,382.67
15653,2,877.44,92,438.72
15185,1,310.62,70,310.62
14173,4,450.84,10,112.71
18125,4,1142.99,29,285.75
15419,1,135.86,24,135.86
13212,3,788.08,19,262.69
16933,2,563.23,1,281.62
14496,2,538.81,311,269.41
16425,1,302.7,302,302.7
17080,2,287.62,22,143.81
17501,2,288.6,220,144.3
15036,3,465.55,72,155.18
17312,3,644.3,138,214.77
12991,2,503.76,23,251.88
17892,3,244.1,56,81.37
12618,1,177.31,21,177.31
14793,1,228.99,21,228.99
14591,4,1447.14,15,361.79
18112,2,352.69,12,176.35
16203,4,592.9,58,148.23
12881,1,298,275,298
12573,1,160.54,227,160.54
15648,2,657.35,204,328.68
16449,2,707.69,197,353.85
13323,5,787.85,3,157.57
13914,2,626.45,11,313.23
12738,1,155.35,372,155.35
17816,4,36.56,36,9.14
14413,1,122.7,362,122.7
16030,1,331.24,309,331.24
17226,1,393.49,308,393.49
13792,2,195.55,66,97.78
17931,2,408.36,134,204.18
12639,1,486.1,238,486.1
15776,1,241.62,133,241.62
12739,2,1013.04,78,506.52
14792,1,6.2,63,6.2
12602,1,153.12,58,153.12
16708,1,656.63,45,656.63
15516,3,62.43,44,20.81
17911,1,366.23,9,366.23
14385,3,202.11,9,67.37
15992,1,41.99,3,41.99
14248,1,302.58,318,302.58
15178,1,40.5,260,40.5
15528,1,229.33,254,229.33
13060,1,307.53,253,307.53
18040,2,357.2,19,178.6
16448,1,188.89,198,188.89
17341,3,781.36,156,260.45
16325,3,594.24,46,198.08
13989,2,1266.08,65,633.04
13169,2,712.88,63,356.44
18126,1,206.83,60,206.83
13496,2,653.33,10,326.67
12966,1,160.18,9,160.18
16221,3,864.86,36,288.29
13990,1,311.3,213,311.3
17871,1,155.9,204,155.9
15921,1,336.03,172,336.03
14002,2,529.73,134,264.87
13218,1,62.64,127,62.64
15366,2,602.51,75,301.26
17712,1,522.91,44,522.91
15986,1,168.12,30,168.12
16189,2,215.48,15,107.74
15165,1,487.75,373,487.75
14220,2,632.4,247,316.2
16792,2,110.38,282,55.19
14964,1,206.21,247,206.21
17747,1,71.4,112,71.4
15103,2,703.36,31,351.68
13049,2,656.68,64,328.34
17343,1,193.64,355,193.64
17165,1,158.68,284,158.68
13229,1,160.95,225,160.95
17704,2,885.19,168,442.6
18193,1,243.76,165,243.76
14929,1,223.88,32,223.88
18119,1,181.12,367,181.12
17118,1,157.02,317,157.02
17535,1,164.4,280,164.4
16256,1,752.43,266,752.43
16545,1,339.3,164,339.3
15339,2,574.07,66,287.04
16415,1,210.35,44,210.35
12956,1,108.07,306,108.07
15308,1,310.47,274,310.47
12902,1,138.68,264,138.68
16769,1,380.39,260,380.39
18251,1,4314.72,87,4314.72
13587,1,712.4,63,712.4
18067,1,396.33,40,396.33
18058,1,170.16,9,170.16
17860,1,252.8,368,252.8
15723,1,203.1,364,203.1
17138,1,380.5,275,380.5
15260,7,1810.77,100,258.68
16754,1,2002.4,372,2002.4
13786,1,230.4,367,230.4
13267,19,4521.49,2,237.97
12709,15,9736.52,15,649.1
15235,12,2247.51,217,187.29
17634,9,2361.97,36,262.44
16735,5,2300.56,78,460.11
17504,9,2997.03,206,333
12951,6,1064.07,8,177.35
16730,3,743.11,52,247.7
14426,10,4481.67,23,448.17
17071,9,2429.03,28,269.89
15407,4,1056.44,33,264.11
12388,6,2780.66,15,463.44
17389,34,31833.68,0,936.28
13851,3,2651.46,95,883.82
16782,13,2279.9,10,175.38
13854,25,8109.52,8,324.38
14350,1,282.93,274,282.93
17164,7,2467.35,32,352.48
14769,8,10674.75,2,1334.34
17811,39,7837.73,4,200.97
18272,6,3078.58,2,513.1
16133,33,14589.04,3,442.09
12395,12,3018.63,19,251.55
17287,7,1064.11,26,152.02
17865,20,10526.32,30,526.32
12423,8,1859.31,0,232.41
14227,10,3350.96,26,335.1
15867,15,3812.64,5,254.18
15897,2,222.05,194,111.03
13668,21,6363.59,2,303.03
18016,5,1483.56,32,296.71
16839,34,16594.35,8,488.07
15861,8,3165.36,12,395.67
13414,3,1390.5,133,463.5
17045,3,339.44,113,113.15
13468,37,5704.97,1,154.19
15764,6,3279.97,88,546.66
16989,6,1133.25,7,188.88
16924,3,846.75,21,282.25
13591,3,1117.13,64,372.38
17620,1,81.44,59,81.44
13104,6,1098.48,3,183.08
16023,3,719.81,46,239.94
13040,2,676.99,8,338.5
13881,20,17159.52,3,857.98
12610,5,2099.54,22,419.91
17063,7,1461.14,21,208.73
12795,1,430.48,18,430.48
17772,2,182.77,10,91.39
14713,11,2666.36,9,242.4
13458,14,9646.57,7,689.04
13230,14,2806.97,4,200.5
16313,2,274.15,3,137.08
12989,15,6924.11,3,461.61
13029,3,1247.5,30,415.83
13651,2,94.2,35,47.1
16402,2,299.6,264,149.8
15513,19,14758.22,33,776.75
16210,18,21086.3,1,1171.46
15160,1,158.16,357,158.16
16791,7,1721.78,29,245.97
15579,2,348.6,68,174.3
16156,9,3122.04,8,346.89
15970,1,314.1,303,314.1
18055,10,6784.19,7,678.42
15393,2,231.86,16,115.93
17411,3,778.94,12,259.65
16745,17,7194.3,86,423.19
14948,6,1101.97,23,183.66
16712,11,3645.43,9,331.4
12976,1,738.6,211,738.6
14021,3,631.9,155,210.63
15813,2,1303.91,207,651.96
14513,3,455.59,100,151.86
14682,2,52,187,26
14415,13,5900.28,1,453.87
16883,2,276.73,187,138.37
15125,15,11528.48,25,768.57
14854,7,2759.83,78,394.26
15505,5,3610.96,52,722.19
16384,2,584.5,89,292.25
14306,2,2093.32,51,1046.66
12906,5,2919.81,11,583.96
14644,2,830.76,67,415.38
16518,2,484.32,61,242.16
12380,4,2724.81,21,681.2
13956,5,1026.42,5,205.28
17206,1,204.24,53,204.24
15286,1,240.55,49,240.55
16750,5,623.93,44,124.79
12664,9,4881.88,8,542.43
17680,1,184.4,23,184.4
16905,7,3102.43,5,443.2
14547,8,4007.54,3,500.94
17883,4,671.77,3,167.94
16446,2,168472.5,0,84236.25
14931,5,1257.68,4,251.54
13270,1,590,366,590
12413,3,758.1,66,252.7
15448,1,494.64,312,494.64
17863,6,3160,59,526.67
14188,6,2054.36,30,342.39
14692,4,591.55,137,147.89
15031,4,668.14,4,167.04
17654,1,117.55,277,117.55
12597,4,3811.22,19,952.81
13132,1,77.3,261,77.3
13548,2,682.41,96,341.21
13285,4,2709.12,23,677.28
14240,2,890.34,30,445.17
13450,6,2043.72,26,340.62
15134,8,1387.99,14,173.5
16806,4,801.49,103,200.37
15186,2,411.41,14,205.71
16112,4,195.74,143,48.94
12384,2,585.27,28,292.64
12656,5,4051.17,17,810.23
12822,2,948.88,70,474.44
16460,3,814.72,28,271.57
15549,3,1693.26,77,564.42
13764,3,1521.76,70,507.25
14317,1,508.58,64,508.58
15484,4,3594.31,1,898.58
13416,2,712.5,43,356.25
13975,6,2526.28,31,421.05
17153,1,213.78,24,213.78
15738,16,4812.42,18,300.78
16271,5,1429.24,2,285.85
12725,1,427.8,371,427.8
17259,2,603.37,148,301.69
14766,6,2473.37,8,412.23
17374,2,495.77,218,247.89
15716,4,1118.81,145,279.7
13892,4,632.97,26,158.24
13634,5,1575.16,33,315.03
12733,1,383.95,234,383.95
12592,2,437.6,92,218.8
17059,5,3095.04,29,619.01
12449,4,4067.29,22,1016.82
13643,3,519.44,31,173.15
16572,3,1009.6,127,336.53
12653,2,2209.85,148,1104.93
