CUSTOMERID,RECENCYDAYS,FREQUENCY,MONETARY,R_SCORE,F_SCORE,M_SCORE,RFM_SEGMENT
13059,249,1,183.4,1,2,1,08_Lost Customers
13060,253,1,307.53,1,1,2,08_Lost Customers
13061,72,1,248.61,2,1,1,09_Other Segments
13062,191,1,346.98,1,1,2,08_Lost Customers
13064,12,4,1119.49,4,3,3,02_Loyal Customers
13065,373,1,205.86,1,2,1,08_Lost Customers
13066,24,2,470.8,3,2,2,07_Needs Attention
13067,82,1,115.46,2,1,1,09_Other Segments
13068,10,2,344,4,2,2,03_Promising
13069,0,24,4436.12,4,4,4,01_Champions
13070,192,1,228.8,1,2,1,08_Lost Customers
13072,266,1,177.15,1,2,1,08_Lost Customers
13075,129,1,919.61,2,1,3,09_Other Segments
13077,1,4,729.27,4,3,3,02_Loyal Customers
13078,3,26,12627.94,4,4,4,01_Champions
13079,4,5,220.1,4,4,1,09_Other Segments
13080,179,1,58.08,1,2,1,08_Lost Customers
13081,11,11,28337.38,4,4,4,01_Champions
13082,126,9,3613.63,2,4,4,03_Promising
13083,4,2,303.75,4,2,1,09_Other Segments
13085,157,2,416.08,1,2,2,08_Lost Customers
13089,2,97,58825.83,4,4,4,01_Champions
13090,8,14,8910.82,4,4,4,01_Champions
13091,28,1,345.82,3,1,2,09_Other Segments
13092,70,5,477.83,2,4,2,09_Other Segments
13093,275,8,7832.47,1,4,4,06_At Risk
13094,21,12,1927.32,3,4,4,02_Loyal Customers
13095,70,1,74.4,2,1,1,09_Other Segments
13097,32,10,6010.42,3,4,4,02_Loyal Customers
13098,1,28,28882.44,4,4,4,01_Champions
13099,99,1,207.36,2,1,1,09_Other Segments
13101,234,1,101.19,1,2,1,08_Lost Customers
13102,1,24,6424.09,4,4,4,01_Champions
13103,39,1,243.94,3,1,1,09_Other Segments
13104,3,6,1098.48,4,4,3,02_Loyal Customers
13106,133,1,76.5,2,1,1,09_Other Segments
13107,44,4,1531.62,3,3,3,02_Loyal Customers
13108,372,1,350.06,1,1,2,08_Lost Customers
13109,59,2,786.54,2,2,3,07_Needs Attention
13110,31,7,1488.67,3,4,3,02_Loyal Customers
13113,0,24,12245.96,4,4,4,01_Champions
13115,11,4,2294.78,4,3,4,02_Loyal Customers
13116,138,1,501.14,2,1,2,09_Other Segments
13117,21,8,984.91,3,4,3,02_Loyal Customers
13118,19,5,1197.81,3,3,3,02_Loyal Customers
13120,238,1,30.6,1,1,1,08_Lost Customers
13121,269,1,283.73,1,2,1,08_Lost Customers
13122,94,2,922.39,2,2,3,07_Needs Attention
13124,89,3,3866.33,2,3,4,06_At Risk
13126,4,8,2099.64,4,4,4,01_Champions
13127,77,1,259.17,2,1,1,09_Other Segments
13130,94,1,64,2,1,1,09_Other Segments
13131,23,3,1073.3,3,3,3,02_Loyal Customers
13132,261,1,77.3,1,1,1,08_Lost Customers
13133,273,2,109.8,1,2,1,08_Lost Customers
13134,85,4,1793.58,2,3,4,06_At Risk
13135,196,1,3096,1,1,4,09_Other Segments
13136,56,5,2607.61,2,4,4,03_Promising
13137,10,8,3650.41,4,4,4,01_Champions
13138,22,6,962.39,3,4,3,02_Loyal Customers
13139,16,7,5064.94,4,4,4,01_Champions
13140,108,3,423.72,2,3,2,07_Needs Attention
13141,84,5,2388.75,2,4,4,03_Promising
13142,19,1,307.09,3,2,1,09_Other Segments
13144,332,1,110.95,1,1,1,08_Lost Customers
13145,39,4,618.52,3,3,2,07_Needs Attention
13146,26,1,228.91,3,1,1,09_Other Segments
13147,10,4,712.8,4,3,3,02_Loyal Customers
13148,29,12,3707.12,3,4,4,02_Loyal Customers
13149,14,4,1676.06,4,3,4,02_Loyal Customers
13151,295,1,1257.87,1,1,3,09_Other Segments
13153,5,1,486.22,4,1,2,09_Other Segments
13155,33,4,971.76,3,3,3,02_Loyal Customers
13157,49,4,1741.22,3,3,4,02_Loyal Customers
13158,94,4,1201.06,2,3,3,06_At Risk
13159,8,4,1437.85,4,3,3,02_Loyal Customers
13160,22,1,91.8,3,1,1,09_Other Segments
13161,313,1,112.75,1,1,1,08_Lost Customers
13162,122,4,1688.29,2,3,4,06_At Risk
13165,46,2,1021.48,3,3,3,02_Loyal Customers
13166,283,1,417.2,1,2,2,08_Lost Customers
13167,18,4,791.33,3,3,3,02_Loyal Customers
13168,36,4,1319.19,3,3,3,02_Loyal Customers
13169,63,2,712.88,2,2,3,07_Needs Attention
13170,26,1,116.01,3,1,1,09_Other Segments
13171,21,3,468.41,3,3,2,07_Needs Attention
13173,4,2,353.65,4,2,2,03_Promising
13174,16,3,2817.03,4,3,4,02_Loyal Customers
13176,46,1,492.84,3,1,2,09_Other Segments
13177,64,1,282.45,2,2,1,09_Other Segments
13178,26,11,5725.47,3,4,4,02_Loyal Customers
13182,45,1,121.18,3,1,1,09_Other Segments
13183,7,9,3957.78,4,4,4,01_Champions
13184,14,10,1701.29,4,4,4,01_Champions
13185,267,1,71.4,1,1,1,08_Lost Customers
13186,39,3,1575.89,3,3,3,02_Loyal Customers
13187,337,1,236.02,1,2,1,08_Lost Customers
13188,11,1,114.6,4,1,1,04_New Customers
13189,18,2,260.68,3,2,1,09_Other Segments
13192,95,2,911.94,2,3,3,06_At Risk
13193,61,1,117.88,2,1,1,09_Other Segments
13194,135,1,60.7,2,1,1,09_Other Segments
13196,11,4,1797.78,4,3,4,02_Loyal Customers
13198,10,6,3401.24,4,4,4,01_Champions
13199,3,38,9817.12,4,4,4,01_Champions
13200,19,4,870.09,3,3,3,02_Loyal Customers
13203,9,4,869.46,4,3,3,02_Loyal Customers
13207,15,2,250.26,4,2,1,09_Other Segments
13208,58,6,1223.9,2,4,3,06_At Risk
13209,30,8,5891.61,3,4,4,02_Loyal Customers
13210,93,1,353.48,2,1,2,09_Other Segments
13211,10,3,1197.42,4,3,3,02_Loyal Customers
13212,19,3,788.08,3,3,3,02_Loyal Customers
13213,56,5,1520.58,2,4,3,06_At Risk
13216,267,1,333.74,1,1,2,08_Lost Customers
13217,122,3,533.98,2,3,2,07_Needs Attention
13218,127,1,62.64,2,1,1,09_Other Segments
13220,78,4,819.29,2,3,3,06_At Risk
13221,240,2,847.41,1,2,3,09_Other Segments
13223,200,2,163.2,1,2,1,08_Lost Customers
13224,60,2,2155.95,2,2,4,09_Other Segments
13225,3,7,6463.84,4,4,4,01_Champions
13226,273,1,108.21,1,1,1,08_Lost Customers
13227,201,1,257.7,1,1,1,08_Lost Customers
13228,81,1,358,2,1,2,09_Other Segments
13229,225,1,160.95,1,1,1,08_Lost Customers
13230,4,14,2806.97,4,4,4,01_Champions
13232,12,7,1357.6,4,4,3,02_Loyal Customers
13233,74,2,605.12,2,2,2,07_Needs Attention
13235,212,1,1031.07,1,1,3,09_Other Segments
13236,24,2,744.85,3,2,3,07_Needs Attention
13238,17,4,700.73,4,3,3,02_Loyal Customers
13239,261,1,329.56,1,2,2,08_Lost Customers
13240,96,4,663.65,2,3,2,07_Needs Attention
13242,112,3,270.4,2,3,1,09_Other Segments
13243,203,1,600.07,1,1,2,08_Lost Customers
13244,92,1,121.74,2,1,1,09_Other Segments
13245,50,1,430.5,3,2,2,07_Needs Attention
13246,18,6,1987.3,3,4,4,02_Loyal Customers
13247,17,4,501.12,4,3,2,03_Promising
13248,124,2,465.68,2,2,2,07_Needs Attention
13249,92,3,711.41,2,3,3,06_At Risk
13253,156,2,1030.4,1,3,3,06_At Risk
13255,9,2,399.51,4,3,2,03_Promising
13258,11,3,698.58,4,3,3,02_Loyal Customers
13259,61,1,292.32,2,2,1,09_Other Segments
13260,61,1,557.62,2,1,2,09_Other Segments
13261,268,2,944.1,1,2,3,09_Other Segments
13262,263,1,200.29,1,1,1,08_Lost Customers
13263,1,35,7454.07,4,4,4,01_Champions
13265,53,5,2107.66,2,4,4,03_Promising
13266,11,12,3834.26,4,4,4,01_Champions
13267,2,19,4521.49,4,4,4,01_Champions
13268,17,11,3214.69,3,4,4,02_Loyal Customers
13269,1,15,5346.23,4,4,4,01_Champions
13270,366,1,590,1,1,2,08_Lost Customers
13271,37,1,217.38,3,1,1,09_Other Segments
13272,31,2,276.56,3,2,1,09_Other Segments
13273,113,1,138.98,2,1,1,09_Other Segments
13276,63,2,590.93,2,2,2,07_Needs Attention
13277,15,4,258.4,4,3,1,09_Other Segments
13278,40,1,542.73,3,1,2,09_Other Segments
13279,78,1,137.75,2,2,1,09_Other Segments
13280,122,3,814.86,2,3,3,06_At Risk
13282,18,3,1132.14,3,3,3,02_Loyal Customers
13283,59,2,93.66,2,2,1,09_Other Segments
13284,330,1,201.19,1,2,1,08_Lost Customers
13285,23,4,2709.12,3,3,4,02_Loyal Customers
13291,155,1,361.11,1,1,2,08_Lost Customers
13292,38,2,578.94,3,3,2,07_Needs Attention
13294,189,2,873.74,1,2,3,09_Other Segments
13295,359,1,201.2,1,1,1,08_Lost Customers
13296,137,1,87.4,2,2,1,09_Other Segments
13297,7,4,2089.85,4,3,4,02_Loyal Customers
13298,1,1,360,4,1,2,09_Other Segments
13299,268,1,142.5,1,1,1,08_Lost Customers
13300,169,1,371.89,1,1,2,08_Lost Customers
13301,103,4,618.09,2,3,2,07_Needs Attention
13302,155,1,63.75,1,1,1,08_Lost Customers
13304,351,1,300.42,1,2,1,08_Lost Customers
13305,4,10,2000.86,4,4,4,01_Champions
13307,120,1,15,2,2,1,09_Other Segments
13308,22,3,1385.51,3,3,3,02_Loyal Customers
13309,7,5,1456.79,4,4,3,02_Loyal Customers
13310,28,3,1132.03,3,3,3,02_Loyal Customers
13311,4,2,598.57,4,2,2,03_Promising
13313,22,5,1555.32,3,3,3,02_Loyal Customers
13314,1,3,775.94,4,3,3,02_Loyal Customers
13316,37,4,5977.73,3,3,4,02_Loyal Customers
13317,66,6,2273.68,2,4,4,03_Promising
13318,1,3,640.76,4,3,2,03_Promising
13319,5,26,10845.55,4,4,4,01_Champions
13320,78,4,1548.7,2,3,3,06_At Risk
13321,72,2,567.36,2,2,2,07_Needs Attention
13322,17,1,199.48,4,1,1,04_New Customers
13323,3,5,787.85,4,4,3,02_Loyal Customers
13324,36,10,7121.95,3,4,4,02_Loyal Customers
13325,81,1,675.3,2,1,3,09_Other Segments
13327,38,8,3627.77,3,4,4,02_Loyal Customers
13328,316,1,1308.48,1,1,3,09_Other Segments
13329,31,2,789,3,2,3,07_Needs Attention
13330,92,3,1140.93,2,3,3,06_At Risk
13332,14,1,350.9,4,1,2,09_Other Segments
13334,82,3,3536.82,2,3,4,06_At Risk
13336,77,1,795.12,2,1,3,09_Other Segments
13338,157,1,487.02,1,1,2,08_Lost Customers
13339,200,1,860.12,1,1,3,09_Other Segments
13340,45,7,10736.48,3,4,4,02_Loyal Customers
13341,260,1,775.85,1,1,3,09_Other Segments
13343,177,1,353.43,1,2,2,08_Lost Customers
13344,67,3,2543.72,2,3,4,06_At Risk
13345,287,1,389.5,1,2,2,08_Lost Customers
13347,70,1,341.36,2,1,2,09_Other Segments
13348,64,1,233.76,2,1,1,09_Other Segments
13349,10,1,247.32,4,2,1,09_Other Segments
13350,16,2,979.12,4,3,3,02_Loyal Customers
13351,66,1,373.94,2,2,2,07_Needs Attention
13352,60,1,397.98,2,1,2,09_Other Segments
13354,71,1,743.53,2,1,3,09_Other Segments
13355,122,1,674.7,2,2,3,07_Needs Attention
13356,80,1,768.24,2,1,3,09_Other Segments
13357,257,1,609.95,1,1,2,08_Lost Customers
13358,268,1,439.03,1,1,2,08_Lost Customers
13359,63,1,439.56,2,2,2,07_Needs Attention
13362,9,4,3090.74,4,3,4,02_Loyal Customers
13363,17,2,992.5,4,2,3,03_Promising
13364,71,1,134.96,2,1,1,09_Other Segments
13365,33,2,2225.37,3,2,4,05_Big Spenders
13366,50,1,56.16,3,1,1,09_Other Segments
13368,256,2,623.4,1,2,2,08_Lost Customers
13369,365,1,308.28,1,1,2,08_Lost Customers
13370,371,1,754.87,1,2,3,09_Other Segments
13372,89,1,378.64,2,1,2,09_Other Segments
13373,60,3,3312.25,2,3,4,06_At Risk
13375,88,1,778.65,2,1,3,09_Other Segments
13376,99,3,1019.76,2,3,3,06_At Risk
13379,26,3,572.56,3,3,2,07_Needs Attention
13381,31,6,3639.31,3,4,4,02_Loyal Customers
13382,280,1,222.99,1,1,1,08_Lost Customers
13384,30,7,4151.93,3,4,4,02_Loyal Customers
13385,329,1,534.57,1,1,2,08_Lost Customers
13388,131,2,677.1,2,2,3,07_Needs Attention
13389,11,3,797.96,4,3,3,02_Loyal Customers
13390,74,1,544.08,2,1,2,09_Other Segments
13391,203,1,59.8,1,2,1,08_Lost Customers
13394,1,8,2520.02,4,4,4,01_Champions
13395,185,1,307.72,1,1,2,08_Lost Customers
13396,29,2,1360.99,3,3,3,02_Loyal Customers
13397,72,5,1544.13,2,4,3,06_At Risk
13398,192,1,457.34,1,2,2,08_Lost Customers
13402,127,2,621.23,2,2,2,07_Needs Attention
13403,17,1,75,4,1,1,04_New Customers
13404,1,2,252.49,4,2,1,09_Other Segments
13405,74,3,572.45,2,3,2,07_Needs Attention
13408,1,62,28117.04,4,4,4,01_Champions
13410,24,5,1003.06,3,4,3,02_Loyal Customers
13411,107,1,213.55,2,1,1,09_Other Segments
13414,133,3,1390.5,2,3,3,06_At Risk
13416,43,2,712.5,3,2,3,07_Needs Attention
13417,4,2,640.83,4,2,2,03_Promising
13418,11,18,6127.43,4,4,4,01_Champions
13419,63,1,221.06,2,2,1,09_Other Segments
13420,149,2,159.85,1,3,1,09_Other Segments
13421,40,2,1851.08,3,2,4,05_Big Spenders
13422,64,1,2626.3,2,1,4,09_Other Segments
13425,108,3,1624.21,2,3,3,06_At Risk
13426,0,10,3641.32,4,4,4,01_Champions
13427,19,3,582.6,3,3,2,07_Needs Attention
13428,10,1,218.47,4,1,1,04_New Customers
13429,10,4,1006.8,4,3,3,02_Loyal Customers
13430,18,2,679.45,3,2,3,07_Needs Attention
13431,67,2,1269.1,2,2,3,07_Needs Attention
13434,74,2,534.24,2,2,2,07_Needs Attention
13435,5,7,3809.89,4,4,4,01_Champions
13436,1,1,196.89,4,2,1,09_Other Segments
13437,14,7,3408.06,4,4,4,01_Champions
13439,255,1,283.71,1,2,1,08_Lost Customers
13441,91,1,296.64,2,2,1,09_Other Segments
13447,23,3,1129.14,3,3,3,02_Loyal Customers
13448,16,6,3539.37,4,4,4,01_Champions
13449,23,1,291.88,3,1,1,09_Other Segments
13450,26,6,2043.72,3,4,4,02_Loyal Customers
13451,26,5,2976.15,3,4,4,02_Loyal Customers
13452,259,2,590,1,3,2,09_Other Segments
13453,165,2,356.98,1,3,2,09_Other Segments
13455,24,2,1058.34,3,2,3,07_Needs Attention
13456,17,6,1766.72,3,4,4,02_Loyal Customers
13458,7,14,9646.57,4,4,4,01_Champions
13460,29,2,183.44,3,3,1,09_Other Segments
13461,38,3,1445,3,3,3,02_Loyal Customers
13462,252,1,151.5,1,1,1,08_Lost Customers
13464,58,1,674.68,2,2,3,07_Needs Attention
13466,184,1,307.9,1,1,2,08_Lost Customers
13467,10,2,1083.71,4,2,3,03_Promising
13468,1,37,5704.97,4,4,4,01_Champions
13470,99,2,165,2,2,1,09_Other Segments
13471,1,4,2531.58,4,3,4,02_Loyal Customers
13473,60,2,422.64,2,2,2,07_Needs Attention
13474,236,1,229.59,1,1,1,08_Lost Customers
13475,191,4,1431.78,1,3,3,06_At Risk
13476,178,2,1238.47,1,2,3,09_Other Segments
13477,37,6,1454.58,3,4,3,02_Loyal Customers
13479,200,2,300.95,1,2,1,08_Lost Customers
13481,45,5,1804.56,3,4,4,02_Loyal Customers
13482,232,1,184.64,1,1,1,08_Lost Customers
13483,65,1,140.34,2,1,1,09_Other Segments
13484,241,1,313.8,1,1,2,08_Lost Customers
13485,233,1,454.24,1,1,2,08_Lost Customers
13486,78,3,1122.41,2,3,3,06_At Risk
13487,57,3,575.4,2,3,2,07_Needs Attention
13488,17,13,8968.31,4,4,4,01_Champions
13489,105,4,449.52,2,3,2,07_Needs Attention
13491,51,10,1215.82,2,4,3,06_At Risk
13492,136,3,1269.84,2,3,3,06_At Risk
13493,275,2,618.63,1,2,2,08_Lost Customers
13494,311,1,316.26,1,1,2,08_Lost Customers
13495,7,5,2044.87,4,4,4,01_Champions
13496,10,2,653.33,4,2,2,03_Promising
13497,282,2,348.05,1,2,2,08_Lost Customers
13499,17,5,1159.11,4,4,3,02_Loyal Customers
13500,23,3,1166.77,3,3,3,02_Loyal Customers
13501,288,1,1340.32,1,1,3,09_Other Segments
13502,16,3,292,4,3,1,09_Other Segments
13503,71,1,216.85,2,1,1,09_Other Segments
13504,64,1,295.93,2,2,1,09_Other Segments
13505,72,4,4393.63,2,3,4,06_At Risk
13506,316,2,458.52,1,2,2,08_Lost Customers
13507,3,4,2479.16,4,3,4,02_Loyal Customers
13508,243,1,110.97,1,1,1,08_Lost Customers
13509,8,7,979.72,4,4,3,02_Loyal Customers
13510,1,4,1791.56,4,3,4,02_Loyal Customers
13512,260,1,251.21,1,1,1,08_Lost Customers
13513,126,1,205.1,2,1,1,09_Other Segments
13514,73,1,152.2,2,1,1,09_Other Segments
13515,72,4,891.12,2,3,3,06_At Risk
13516,21,3,1389.41,3,3,3,02_Loyal Customers
13517,59,3,2128.42,2,3,4,06_At Risk
13518,85,1,659.44,2,1,2,09_Other Segments
13519,78,1,122.75,2,2,1,09_Other Segments
13520,58,6,3624.35,2,4,4,03_Promising
13521,1,3,1093.65,4,3,3,02_Loyal Customers
13522,30,1,125.8,3,1,1,09_Other Segments
13523,33,5,3964.88,3,4,4,02_Loyal Customers
13524,40,5,680.18,3,4,3,02_Loyal Customers
13525,14,2,628.78,4,2,2,03_Promising
13527,33,7,2287.51,3,4,4,02_Loyal Customers
13529,78,2,307.76,2,3,2,07_Needs Attention
13531,205,2,483.8,1,2,2,08_Lost Customers
13532,33,1,210.31,3,1,1,09_Other Segments
13533,182,3,270.79,1,3,1,09_Other Segments
13534,2,25,5870.08,4,4,4,01_Champions
13536,1,7,3448.29,4,4,4,01_Champions
13538,43,7,1280.85,3,4,3,02_Loyal Customers
13539,85,3,631.34,2,3,2,07_Needs Attention
13544,39,2,291.41,3,2,1,09_Other Segments
13546,12,3,626.99,4,3,2,03_Promising
13548,96,2,682.41,2,2,3,07_Needs Attention
13549,25,7,918.2,3,4,3,02_Loyal Customers
13551,319,1,91.8,1,2,1,08_Lost Customers
13552,66,12,3740.07,2,4,4,03_Promising
13555,73,4,4149.28,2,3,4,06_At Risk
13557,28,2,584.06,3,2,2,07_Needs Attention
13558,5,4,605.06,4,3,2,03_Promising
13560,7,1,174.37,4,1,1,04_New Customers
13561,215,1,141.86,1,1,1,08_Lost Customers
13562,81,3,1799.33,2,3,4,06_At Risk
13563,84,2,777.53,2,2,3,07_Needs Attention
13564,144,3,1749.02,1,3,4,06_At Risk
13565,19,2,240.22,3,2,1,09_Other Segments
13566,40,2,874.71,3,2,3,07_Needs Attention
13568,173,1,192.85,1,1,1,08_Lost Customers
13569,17,2,373.75,4,2,2,03_Promising
13570,243,1,239.49,1,1,1,08_Lost Customers
13571,12,12,2092.32,4,4,4,01_Champions
13572,205,1,1384.25,1,1,3,09_Other Segments
13573,50,2,294.4,3,3,1,09_Other Segments
13575,23,5,732.07,3,3,3,02_Loyal Customers
13576,10,18,6717.34,4,4,4,01_Champions
13577,25,4,1687.6,3,3,4,02_Loyal Customers
13579,14,2,467.04,4,3,2,03_Promising
13581,309,1,118,1,1,1,08_Lost Customers
13583,155,1,781.03,1,1,3,09_Other Segments
13584,306,1,142.4,1,2,1,08_Lost Customers
13587,63,1,712.4,2,1,3,09_Other Segments
13588,15,9,2478.95,4,4,4,01_Champions
13589,14,2,379.65,4,2,2,03_Promising
13590,11,6,1981.92,4,4,4,01_Champions
13591,64,3,1117.13,2,3,3,06_At Risk
13592,35,4,247.96,3,3,1,09_Other Segments
13593,108,5,2037.08,2,4,4,03_Promising
13594,52,1,396.97,2,1,2,09_Other Segments
13596,5,2,697.04,4,2,3,03_Promising
13598,47,1,180.17,3,2,1,09_Other Segments
13599,1,21,5153.67,4,4,4,01_Champions
13600,312,1,219.52,1,1,1,08_Lost Customers
13601,45,2,693.32,3,2,3,07_Needs Attention
13602,64,1,428.89,2,1,2,09_Other Segments
13603,26,1,164.34,3,1,1,09_Other Segments
13606,29,3,280.54,3,3,1,09_Other Segments
13607,40,1,678.01,3,1,3,09_Other Segments
13610,12,7,1131.88,4,4,3,02_Loyal Customers
13611,89,3,1171.8,2,3,3,06_At Risk
13614,24,4,1610.46,3,3,3,02_Loyal Customers
13615,318,1,417.69,1,1,2,08_Lost Customers
13617,40,3,544.18,3,3,2,07_Needs Attention
13618,173,1,177.34,1,1,1,08_Lost Customers
13621,116,1,213.85,2,1,1,09_Other Segments
13623,30,5,747.78,3,4,3,02_Loyal Customers
13626,252,1,257.23,1,2,1,08_Lost Customers
13627,59,5,1638.47,2,4,3,06_At Risk
13629,23,11,7792.36,3,4,4,02_Loyal Customers
13630,5,7,2031.78,4,4,4,01_Champions
13631,99,11,3070.42,2,4,4,03_Promising
13632,24,5,2121.27,3,4,4,02_Loyal Customers
13634,33,5,1575.16,3,4,3,02_Loyal Customers
13635,67,1,1071.03,2,1,3,09_Other Segments
13636,36,5,949.12,3,4,3,02_Loyal Customers
13637,52,3,810.5,2,3,3,06_At Risk
13638,15,1,122.64,4,2,1,09_Other Segments
13639,74,1,1033.34,2,2,3,07_Needs Attention
13642,215,1,354.8,1,1,2,08_Lost Customers
13643,31,3,519.44,3,3,2,07_Needs Attention
13644,16,4,2624.26,4,3,4,02_Loyal Customers
13645,120,1,252.1,2,1,1,09_Other Segments
13647,9,4,1678.12,4,3,4,02_Loyal Customers
13649,256,2,346.6,1,2,2,08_Lost Customers
13650,16,6,1836.34,4,4,4,01_Champions
13651,35,2,94.2,3,2,1,09_Other Segments
13652,45,3,1095.08,3,3,3,02_Loyal Customers
13654,43,6,2707.33,3,4,4,02_Loyal Customers
13655,114,2,932.97,2,3,3,06_At Risk
13656,164,2,379.65,1,2,2,08_Lost Customers
13657,10,2,382.14,4,3,2,03_Promising
13658,9,5,2639.17,4,3,4,02_Loyal Customers
13659,205,2,1573.2,1,2,3,09_Other Segments
13662,85,3,897.76,2,3,3,06_At Risk
13663,179,1,189.47,1,1,1,08_Lost Customers
13666,60,3,84.65,2,3,1,09_Other Segments
13667,149,1,305.02,1,1,1,08_Lost Customers
13668,2,21,6363.59,4,4,4,01_Champions
13669,50,2,218.55,3,2,1,09_Other Segments
13670,75,1,349.7,2,1,2,09_Other Segments
13672,301,2,186.39,1,2,1,08_Lost Customers
13673,18,2,396.92,3,2,2,07_Needs Attention
13675,151,2,486.82,1,2,2,08_Lost Customers
13678,151,1,232.6,1,1,1,08_Lost Customers
13680,1,4,3722.42,4,3,4,02_Loyal Customers
13681,17,4,827.83,4,3,3,02_Loyal Customers
13682,187,1,59.5,1,2,1,08_Lost Customers
13684,285,1,67.23,1,1,1,08_Lost Customers
13685,2,7,3119.44,4,4,4,01_Champions
13686,182,1,72,1,2,1,08_Lost Customers
13689,63,1,910,2,1,3,09_Other Segments
13690,59,1,172.25,2,2,1,09_Other Segments
13692,24,3,1488.32,3,3,3,02_Loyal Customers
13694,3,50,65039.62,4,4,4,01_Champions
13695,31,15,2504.13,3,4,4,02_Loyal Customers
13697,38,1,151.3,3,1,1,09_Other Segments
13699,155,1,308.58,1,1,2,08_Lost Customers
13700,26,10,2265.12,3,4,4,02_Loyal Customers
13703,318,1,99.5,1,1,1,08_Lost Customers
13704,5,9,2308.06,4,4,4,01_Champions
13705,7,3,711.86,4,3,3,02_Loyal Customers
13706,302,1,330.79,1,1,2,08_Lost Customers
13707,267,2,806.41,1,3,3,06_At Risk
13708,271,1,296.88,1,1,1,08_Lost Customers
13709,3,13,6328.05,4,4,4,01_Champions
13710,31,1,180.48,3,2,1,09_Other Segments
13711,218,2,252.06,1,2,1,08_Lost Customers
13712,246,1,228.84,1,1,1,08_Lost Customers
13715,281,5,1079.34,1,4,3,06_At Risk
13716,269,1,138.28,1,2,1,08_Lost Customers
13717,32,6,1445.01,3,4,3,02_Loyal Customers
13718,246,2,306.55,1,3,1,09_Other Segments
13719,15,5,1041.68,4,4,3,02_Loyal Customers
13720,116,4,799.9,2,3,3,06_At Risk
13721,36,1,524.14,3,1,2,09_Other Segments
13722,131,3,2375.41,2,3,4,06_At Risk
13723,217,1,199.85,1,2,1,08_Lost Customers
13725,49,8,1980.56,3,4,4,02_Loyal Customers
13726,38,2,1079.66,3,2,3,07_Needs Attention
13727,28,2,333.48,3,2,2,07_Needs Attention
13728,36,6,1016.14,3,4,3,02_Loyal Customers
13730,135,2,752.6,2,2,3,07_Needs Attention
13731,219,2,610.59,1,2,2,08_Lost Customers
13732,28,1,491.86,3,2,2,07_Needs Attention
13735,24,4,2885.24,3,3,4,02_Loyal Customers
13736,5,2,731.9,4,3,3,02_Loyal Customers
13737,200,1,339.6,1,1,2,08_Lost Customers
13739,18,1,216.9,3,1,1,09_Other Segments
13740,240,1,350.75,1,1,2,08_Lost Customers
13741,71,3,668.43,2,3,2,07_Needs Attention
13742,16,12,3131.02,4,4,4,01_Champions
13743,2,7,1341.6,4,4,3,02_Loyal Customers
13744,95,2,1156.36,2,2,3,07_Needs Attention
13745,162,1,300.04,1,1,1,08_Lost Customers
13747,373,1,79.6,1,1,1,08_Lost Customers
13748,95,5,948.25,2,4,3,06_At Risk
13750,53,5,1647.26,2,4,3,06_At Risk
13751,288,1,296.25,1,2,1,08_Lost Customers
13752,124,6,1186.28,2,4,3,06_At Risk
13753,287,1,741.26,1,1,3,09_Other Segments
13754,151,2,282.6,1,2,1,08_Lost Customers
13755,3,9,2161.35,4,4,4,01_Champions
13756,2,14,5189.52,4,4,4,01_Champions
13758,11,7,3190.55,4,4,4,01_Champions
13759,33,2,659.41,3,2,2,07_Needs Attention
13760,54,2,286.79,2,3,1,09_Other Segments
13761,50,2,1070.65,3,3,3,02_Loyal Customers
13762,218,1,306.72,1,2,1,08_Lost Customers
13763,63,1,1714.96,2,1,4,09_Other Segments
13764,70,3,1521.76,2,3,3,06_At Risk
13767,2,37,17220.36,4,4,4,01_Champions
13769,2,10,2796.51,4,4,4,01_Champions
13771,64,4,2634.45,2,3,4,06_At Risk
13772,33,3,1132.13,3,3,3,02_Loyal Customers
13774,81,1,345,2,1,2,09_Other Segments
13777,0,33,25977.16,4,4,4,01_Champions
13778,103,1,178.7,2,1,1,09_Other Segments
13780,7,2,360.01,4,3,2,03_Promising
13781,250,1,127.84,1,1,1,08_Lost Customers
13782,12,6,912,4,4,3,02_Loyal Customers
13784,9,11,2462.79,4,4,4,01_Champions
13786,367,1,230.4,1,1,1,08_Lost Customers
13787,75,2,309.04,2,3,2,07_Needs Attention
13790,4,1,348.8,4,1,2,09_Other Segments
13791,127,2,1516,2,3,3,06_At Risk
13792,66,2,195.55,2,2,1,09_Other Segments
13798,1,57,37153.85,4,4,4,01_Champions
13799,116,2,688.86,2,2,3,07_Needs Attention
13800,309,1,558.32,1,1,2,08_Lost Customers
13801,66,1,324.8,2,1,2,09_Other Segments
13802,138,3,4599.42,2,3,4,06_At Risk
13803,255,1,277.07,1,1,1,08_Lost Customers
13804,30,7,2635.79,3,4,4,02_Loyal Customers
13805,52,2,924.6,2,2,3,07_Needs Attention
13806,63,1,256.38,2,1,1,09_Other Segments
13807,367,1,112.6,1,1,1,08_Lost Customers
13808,5,5,1747.66,4,4,4,01_Champions
13809,305,1,155.05,1,1,1,08_Lost Customers
13810,28,3,1499.01,3,3,3,02_Loyal Customers
13811,183,3,814.5,1,3,3,06_At Risk
13812,42,3,539,3,3,2,07_Needs Attention
13813,39,4,1366.86,3,3,3,02_Loyal Customers
